========================================
RISC-V TSO Memory Model Test
========================================
Test: Store_Buffering_Evolved
Iterations: 200
========================================


=== Memory Trace (TSO) - Sorted by Timestamp ===
timestamp,seq_id,core_id,type,address,value,po_index
TRACE:4388098902890040,42,0,WRITE,0x7cd90,1,42
TRACE:4388098902890468,43,0,FENCE,0x0,0,43
TRACE:4388098902890693,44,0,READ,0x7cdd0,1,44
TRACE:4388098902943950,45,1,WRITE,0x7cdd0,1,45
TRACE:4388098902944175,46,1,FENCE,0x0,0,46
TRACE:4388098902944310,47,1,READ,0x7cd90,1,47
TRACE:4388098902963615,45,0,WRITE,0x7cd90,1,45
TRACE:4388098902964155,46,0,FENCE,0x0,0,46
TRACE:4388098902964403,47,0,READ,0x7cdd0,1,47
TRACE:4388098903005848,48,1,WRITE,0x7cdd0,1,48
TRACE:4388098903006253,49,1,FENCE,0x0,0,49
TRACE:4388098903006388,50,1,READ,0x7cd90,1,50
TRACE:4388098903034018,48,0,WRITE,0x7cd90,1,48
TRACE:4388098903034378,49,0,FENCE,0x0,0,49
TRACE:4388098903034625,50,0,READ,0x7cdd0,1,50
TRACE:4388098903074158,51,1,WRITE,0x7cdd0,1,51
TRACE:4388098903074473,52,1,FENCE,0x0,0,52
TRACE:4388098903074743,53,1,READ,0x7cd90,1,53
TRACE:4388098903086128,51,0,WRITE,0x7cd90,1,51
TRACE:4388098903086488,52,0,FENCE,0x0,0,52
TRACE:4388098903086713,53,0,READ,0x7cdd0,1,53
TRACE:4388098903134593,54,1,WRITE,0x7cdd0,1,54
TRACE:4388098903134953,55,1,FENCE,0x0,0,55
TRACE:4388098903135245,56,1,READ,0x7cd90,1,56
TRACE:4388098903153088,54,0,WRITE,0x7cd90,1,54
TRACE:4388098903153740,55,0,FENCE,0x0,0,55
TRACE:4388098903154235,56,0,READ,0x7cdd0,1,56
TRACE:4388098903199978,57,1,WRITE,0x7cdd0,1,57
TRACE:4388098903202115,58,1,FENCE,0x0,0,58
TRACE:4388098903202250,59,1,READ,0x7cd90,1,59
TRACE:4388098903221375,57,0,WRITE,0x7cd90,1,57
TRACE:4388098903221938,58,0,FENCE,0x0,0,58
TRACE:4388098903222365,59,0,READ,0x7cdd0,1,59
TRACE:4388098903260863,60,1,WRITE,0x7cdd0,1,60
TRACE:4388098903261650,61,1,FENCE,0x0,0,61
TRACE:4388098903262055,62,1,READ,0x7cd90,1,62
TRACE:4388098903275398,60,0,WRITE,0x7cd90,1,60
TRACE:4388098903275960,61,0,FENCE,0x0,0,61
TRACE:4388098903276208,62,0,READ,0x7cdd0,1,62
TRACE:4388098903321410,63,1,WRITE,0x7cdd0,1,63
TRACE:4388098903321725,64,1,FENCE,0x0,0,64
TRACE:4388098903321995,65,1,READ,0x7cd90,1,65
TRACE:4388098903339343,63,0,WRITE,0x7cd90,1,63
TRACE:4388098903339838,64,0,FENCE,0x0,0,64
TRACE:4388098903340085,65,0,READ,0x7cdd0,1,65
TRACE:4388098903384275,66,1,WRITE,0x7cdd0,1,66
TRACE:4388098903384478,67,1,FENCE,0x0,0,67
TRACE:4388098903384635,68,1,READ,0x7cd90,1,68
TRACE:4388098903416765,66,0,WRITE,0x7cd90,1,66
TRACE:4388098903417463,67,0,FENCE,0x0,0,67
TRACE:4388098903417733,68,0,READ,0x7cdd0,1,68
TRACE:4388098903454700,69,1,WRITE,0x7cdd0,1,69
TRACE:4388098903455105,70,1,FENCE,0x0,0,70
TRACE:4388098903455263,71,1,READ,0x7cd90,1,71
TRACE:4388098903497833,69,0,WRITE,0x7cd90,1,69
TRACE:4388098903498193,70,0,FENCE,0x0,0,70
TRACE:4388098903498463,71,0,READ,0x7cdd0,1,71
TRACE:4388098903536893,72,1,WRITE,0x7cdd0,1,72
TRACE:4388098903537410,73,1,FENCE,0x0,0,73
TRACE:4388098903537680,74,1,READ,0x7cd90,1,74
TRACE:4388098903569360,72,0,WRITE,0x7cd90,1,72
TRACE:4388098903569720,73,0,FENCE,0x0,0,73
TRACE:4388098903569945,74,0,READ,0x7cdd0,1,74
TRACE:4388098903608510,75,1,WRITE,0x7cdd0,1,75
TRACE:4388098903608960,76,1,FENCE,0x0,0,76
TRACE:4388098903609118,77,1,READ,0x7cd90,1,77
TRACE:4388098903625205,75,0,WRITE,0x7cd90,1,75
TRACE:4388098903625565,76,0,FENCE,0x0,0,76
TRACE:4388098903625835,77,0,READ,0x7cdd0,1,77
TRACE:4388098903670115,78,1,WRITE,0x7cdd0,1,78
TRACE:4388098903670520,79,1,FENCE,0x0,0,79
TRACE:4388098903670655,80,1,READ,0x7cd90,1,80
TRACE:4388098903675088,78,0,WRITE,0x7cd90,1,78
TRACE:4388098903675470,79,0,FENCE,0x0,0,79
TRACE:4388098903675718,80,0,READ,0x7cdd0,1,80
TRACE:4388098903742610,81,1,WRITE,0x7cdd0,1,81
TRACE:4388098903743015,82,1,FENCE,0x0,0,82
TRACE:4388098903743488,83,1,READ,0x7cd90,1,83
TRACE:4388098903763310,81,0,WRITE,0x7cd90,1,81
TRACE:4388098903763625,82,0,FENCE,0x0,0,82
TRACE:4388098903763850,83,0,READ,0x7cdd0,1,83
TRACE:4388098903810718,84,1,WRITE,0x7cdd0,1,84
TRACE:4388098903810920,85,1,FENCE,0x0,0,85
TRACE:4388098903811078,86,1,READ,0x7cd90,1,86
TRACE:4388098903831890,84,0,WRITE,0x7cd90,1,84
TRACE:4388098903832453,85,0,FENCE,0x0,0,85
TRACE:4388098903832745,86,0,READ,0x7cdd0,1,86
TRACE:4388098903870703,87,1,WRITE,0x7cdd0,1,87
TRACE:4388098903871108,88,1,FENCE,0x0,0,88
TRACE:4388098903871310,89,1,READ,0x7cd90,1,89
TRACE:4388098903894643,87,0,WRITE,0x7cd90,1,87
TRACE:4388098903895228,88,0,FENCE,0x0,0,88
TRACE:4388098903895610,89,0,READ,0x7cdd0,1,89
TRACE:4388098903931183,90,1,WRITE,0x7cdd0,1,90
TRACE:4388098903931880,91,1,FENCE,0x0,0,91
TRACE:4388098903932173,92,1,READ,0x7cd90,1,92
TRACE:4388098903959263,90,0,WRITE,0x7cd90,1,90
TRACE:4388098903959690,91,0,FENCE,0x0,0,91
TRACE:4388098903959938,92,0,READ,0x7cdd0,1,92
TRACE:4388098904032253,93,1,WRITE,0x7cdd0,1,93
