========================================
RISC-V TSO Memory Model Test
========================================
Test: Store_Buffering_Evolved
Iterations: 200
========================================


=== Memory Trace (TSO) - Sorted by Timestamp ===
timestamp,seq_id,core_id,type,address,value,po_index
TRACE:4388098639629308,0,0,WRITE,0x7ce90,1,0
TRACE:4388098639801860,1,0,FENCE,0x0,0,1
TRACE:4388098639864680,2,0,READ,0x7ce10,0,2
TRACE:4388098639939718,0,1,WRITE,0x7ce10,1,0
TRACE:4388098639977990,1,1,FENCE,0x0,0,1
TRACE:4388098639987755,2,1,READ,0x7ce90,1,2
TRACE:4388098640105453,3,0,WRITE,0x7ce90,1,3
TRACE:4388098640106060,4,0,FENCE,0x0,0,4
TRACE:4388098640106353,5,0,READ,0x7ce10,0,5
TRACE:4388098640131463,3,1,WRITE,0x7ce10,1,3
TRACE:4388098640132138,4,1,FENCE,0x0,0,4
TRACE:4388098640132520,5,1,READ,0x7ce90,1,5
TRACE:4388098640165168,6,0,WRITE,0x7ce90,1,6
TRACE:4388098640165505,7,0,FENCE,0x0,0,7
TRACE:4388098640165640,8,0,READ,0x7ce10,1,8
TRACE:4388098640188748,6,1,WRITE,0x7ce10,1,6
TRACE:4388098640188995,7,1,FENCE,0x0,0,7
TRACE:4388098640189153,8,1,READ,0x7ce90,1,8
TRACE:4388098640217728,9,0,WRITE,0x7ce90,1,9
TRACE:4388098640218200,10,0,FENCE,0x0,0,10
TRACE:4388098640218358,11,0,READ,0x7ce10,1,11
TRACE:4388098640232803,9,1,WRITE,0x7ce10,1,9
TRACE:4388098640233073,10,1,FENCE,0x0,0,10
TRACE:4388098640233230,11,1,READ,0x7ce90,1,11
TRACE:4388098640284463,12,0,WRITE,0x7ce90,1,12
TRACE:4388098640284710,13,0,FENCE,0x0,0,13
TRACE:4388098640284913,14,0,READ,0x7ce10,1,14
TRACE:4388098640298503,12,1,WRITE,0x7ce10,1,12
TRACE:4388098640298908,13,1,FENCE,0x0,0,13
TRACE:4388098640299065,14,1,READ,0x7ce90,1,14
TRACE:4388098640334705,15,0,WRITE,0x7ce90,1,15
