========================================
RISC-V RVWMO Memory Model Test
========================================
Test: Store_Buffering
Iterations: 100
========================================


=== Memory Trace (RVWMO Model - Sorted by Timestamp) ===
timestamp,seq_id,core_id,type,address,value,po_index
TRACE:4387855383757283,42,1,WRITE,0x7cd90,1,42
TRACE:4387855383757688,43,1,FENCE,0x0,0,43
TRACE:4387855383757823,44,1,READ,0x7cdd0,1,44
TRACE:4387855383839340,45,0,WRITE,0x7cdd0,1,45
TRACE:4387855383839993,46,0,FENCE,0x0,0,46
TRACE:4387855383840128,47,0,READ,0x7cd90,1,47
TRACE:4387855383863708,45,1,WRITE,0x7cd90,1,45
TRACE:4387855383864113,46,1,FENCE,0x0,0,46
TRACE:4387855383864248,47,1,READ,0x7cdd0,1,47
TRACE:4387855383904590,48,0,WRITE,0x7cdd0,1,48
TRACE:4387855383904995,49,0,FENCE,0x0,0,49
TRACE:4387855383905130,50,0,READ,0x7cd90,1,50
TRACE:4387855383930758,48,1,WRITE,0x7cd90,1,48
TRACE:4387855383930983,49,1,FENCE,0x0,0,49
TRACE:4387855383931118,50,1,READ,0x7cdd0,1,50
TRACE:4387855383985545,51,0,WRITE,0x7cdd0,1,51
TRACE:4387855383985950,52,0,FENCE,0x0,0,52
TRACE:4387855383986108,53,0,READ,0x7cd90,1,53
TRACE:4387855384006290,51,1,WRITE,0x7cd90,1,51
TRACE:4387855384006695,52,1,FENCE,0x0,0,52
TRACE:4387855384006853,53,1,READ,0x7cdd0,1,53
TRACE:4387855384056825,54,0,WRITE,0x7cdd0,1,54
TRACE:4387855384057230,55,0,FENCE,0x0,0,55
TRACE:4387855384057658,56,0,READ,0x7cd90,1,56
TRACE:4387855384083848,54,1,WRITE,0x7cd90,1,54
TRACE:4387855384084253,55,1,FENCE,0x0,0,55
TRACE:4387855384084388,56,1,READ,0x7cdd0,1,56
TRACE:4387855384137600,57,0,WRITE,0x7cdd0,1,57
TRACE:4387855384148175,58,0,FENCE,0x0,0,58
TRACE:4387855384148603,59,0,READ,0x7cd90,1,59
TRACE:4387855384161180,57,1,WRITE,0x7cd90,1,57
TRACE:4387855384161585,58,1,FENCE,0x0,0,58
TRACE:4387855384161743,59,1,READ,0x7cdd0,1,59
TRACE:4387855384224203,60,0,WRITE,0x7cdd0,1,60
TRACE:4387855384224608,61,0,FENCE,0x0,0,61
TRACE:4387855384224810,62,0,READ,0x7cd90,1,62
TRACE:4387855384249808,60,1,WRITE,0x7cd90,1,60
TRACE:4387855384250213,61,1,FENCE,0x0,0,61
TRACE:4387855384250348,62,1,READ,0x7cdd0,1,62
TRACE:4387855384308150,63,0,WRITE,0x7cdd0,1,63
TRACE:4387855384308555,64,0,FENCE,0x0,0,64
TRACE:4387855384308690,65,0,READ,0x7cd90,1,65
TRACE:4387855384330470,63,1,WRITE,0x7cd90,1,63
TRACE:4387855384330875,64,1,FENCE,0x0,0,64
TRACE:4387855384331033,65,1,READ,0x7cdd0,1,65
TRACE:4387855384377023,66,0,WRITE,0x7cdd0,1,66
TRACE:4387855384377495,67,0,FENCE,0x0,0,67
TRACE:4387855384377945,68,0,READ,0x7cd90,1,68
TRACE:4387855384412753,66,1,WRITE,0x7cd90,1,66
TRACE:4387855384413158,67,1,FENCE,0x0,0,67
TRACE:4387855384413315,68,1,READ,0x7cdd0,1,68
TRACE:4387855384465290,69,0,WRITE,0x7cdd0,1,69
TRACE:4387855384465718,70,0,FENCE,0x0,0,70
TRACE:4387855384466078,71,0,READ,0x7cd90,1,71
TRACE:4387855384493775,69,1,WRITE,0x7cd90,1,69
TRACE:4387855384494000,70,1,FENCE,0x0,0,70
TRACE:4387855384494135,71,1,READ,0x7cdd0,1,71
TRACE:4387855384558193,72,0,WRITE,0x7cdd0,1,72
TRACE:4387855384558598,73,0,FENCE,0x0,0,73
TRACE:4387855384558755,74,0,READ,0x7cd90,1,74
TRACE:4387855384585958,72,1,WRITE,0x7cd90,1,72
TRACE:4387855384586340,73,1,FENCE,0x0,0,73
TRACE:4387855384586498,74,1,READ,0x7cdd0,1,74
TRACE:4387855384635885,75,0,WRITE,0x7cdd0,1,75
TRACE:4387855384636313,76,0,FENCE,0x0,0,76
TRACE:4387855384636448,77,0,READ,0x7cd90,1,77
TRACE:4387855384674315,75,1,WRITE,0x7cd90,1,75
TRACE:4387855384674743,76,1,FENCE,0x0,0,76
TRACE:4387855384674878,77,1,READ,0x7cdd0,1,77
TRACE:4387855384728338,78,0,WRITE,0x7cdd0,1,78
TRACE:4387855384728765,79,0,FENCE,0x0,0,79
TRACE:4387855384728900,80,0,READ,0x7cd90,1,80
TRACE:4387855384745775,78,1,WRITE,0x7cd90,1,78
TRACE:4387855384746000,79,1,FENCE,0x0,0,79
TRACE:4387855384746158,80,1,READ,0x7cdd0,1,80
TRACE:4387855384796400,81,0,WRITE,0x7cdd0,1,81
TRACE:4387855384796783,82,0,FENCE,0x0,0,82
TRACE:4387855384796940,83,0,READ,0x7cd90,1,83
TRACE:4387855384814198,81,1,WRITE,0x7cd90,1,81
TRACE:4387855384814513,82,1,FENCE,0x0,0,82
TRACE:4387855384814648,83,1,READ,0x7cdd0,1,83
TRACE:4387855384857218,84,0,WRITE,0x7cdd0,1,84
TRACE:4387855384857623,85,0,FENCE,0x0,0,85
TRACE:4387855384857758,86,0,READ,0x7cd90,1,86
TRACE:4387855384878458,84,1,WRITE,0x7cd90,1,84
TRACE:4387855384878615,85,1,FENCE,0x0,0,85
TRACE:4387855384878773,86,1,READ,0x7cdd0,1,86
TRACE:4387855384920330,87,0,WRITE,0x7cdd0,1,87
TRACE:4387855384920735,88,0,FENCE,0x0,0,88
TRACE:4387855384920870,89,0,READ,0x7cd90,1,89
TRACE:4387855384945260,87,1,WRITE,0x7cd90,1,87
TRACE:4387855384945418,88,1,FENCE,0x0,0,88
TRACE:4387855384945575,89,1,READ,0x7cdd0,1,89
TRACE:4387855384996965,90,0,WRITE,0x7cdd0,1,90
TRACE:4387855384997370,91,0,FENCE,0x0,0,91
TRACE:4387855384997528,92,0,READ,0x7cd90,1,92
TRACE:4387855385088405,90,1,WRITE,0x7cd90,1,90
TRACE:4387855385088585,91,1,FENCE,0x0,0,91
TRACE:4387855385088743,92,1,READ,0x7cdd0,1,92
TRACE:4387855385145623,93,0,WRITE,0x7cdd0,1,93
TRACE:4387855385146028,94,0,FENCE,0x0,0,94
TRACE:4387855385146163,95,0,READ,0x7cd90,1,95
TRACE:4387855385176763,93,1,WRITE,0x7cd90,1,93
TRACE:4387855385177168,94,1,FENCE,0x0,0,94
TRACE:4387855385177325,95,1,READ,0x7cdd0,1,95
TRACE:4387855385223270,96,0,WRITE,0x7cdd0,1,96
TRACE:4387855385223698,97,0,FENCE,0x0,0,97
TRACE:4387855385223833,98,0,READ,0x7cd90,1,98
TRACE:4387855385254073,96,1,WRITE,0x7cd90,1,96
TRACE:4387855385254275,97,1,FENCE,0x0,0,97
TRACE:4387855385254433,98,1,READ,0x7cdd0,1,98
TRACE:4387855385298600,99,0,WRITE,0x7cdd0,1,99
TRACE:4387855385299005,100,0,FENCE,0x0,0,100
TRACE:4387855385299163,101,0,READ,0x7cd90,1,101
TRACE:4387855385334285,99,1,WRITE,0x7cd90,1,99
TRACE:4387855385334510,100,1,FENCE,0x0,0,100
TRACE:4387855385334645,101,1,READ,0x7cdd0,1,101
TRACE:4387855385390513,102,0,WRITE,0x7cdd0,1,102
TRACE:4387855385390918,103,0,FENCE,0x0,0,103
TRACE:4387855385391053,104,0,READ,0x7cd90,1,104
TRACE:4387855385423993,102,1,WRITE,0x7cd90,1,102
TRACE:4387855385424398,103,1,FENCE,0x0,0,103
TRACE:4387855385424533,104,1,READ,0x7cdd0,1,104
TRACE:4387855385471985,105,0,WRITE,0x7cdd0,1,105
TRACE:4387855385472368,106,0,FENCE,0x0,0,106
TRACE:4387855385472525,107,0,READ,0x7cd90,1,107
TRACE:4387855385496825,105,1,WRITE,0x7cd90,1,105
TRACE:4387855385497050,106,1,FENCE,0x0,0,106
TRACE:4387855385497185,107,1,READ,0x7cdd0,1,107
TRACE:4387855385542118,108,0,WRITE,0x7cdd0,1,108
TRACE:4387855385542500,109,0,FENCE,0x0,0,109
TRACE:4387855385542658,110,0,READ,0x7cd90,1,110
TRACE:4387855385574855,108,1,WRITE,0x7cd90,1,108
TRACE:4387855385575080,109,1,FENCE,0x0,0,109
TRACE:4387855385575215,110,1,READ,0x7cdd0,1,110
TRACE:4387855385626358,111,0,WRITE,0x7cdd0,1,111
TRACE:4387855385626740,112,0,FENCE,0x0,0,112
TRACE:4387855385626898,113,0,READ,0x7cd90,1,113
TRACE:4387855385650253,111,1,WRITE,0x7cd90,1,111
TRACE:4387855385650478,112,1,FENCE,0x0,0,112
TRACE:4387855385650613,113,1,READ,0x7cdd0,1,113
TRACE:4387855385694173,114,0,WRITE,0x7cdd0,1,114
TRACE:4387855385694578,115,0,FENCE,0x0,0,115
